State,Representative,Party,PctPro_2020,PctPro_Lifetime
Alabama,Bradley,R,0,0
Alabama,Roby,R,5,4
Alabama,Rogers,R,5,5
Alabama,Aderholt,R,5,3
Alabama,Brooks,R,0,8
Alabama,Palmer,R,0,1
Alabama,Sewell,D,90,81
Alaska,Young,R,33,9
American Samoa,Radewagen,R,0,14
Arizona,O'Halleran,D,100,92
Arizona,Kirkpatrick,D,93,73
Arizona,Grijalva,D,100,96
Arizona,Gosar,R,5,5
Arizona,Biggs,R,0,5
Arizona,Schweikert,R,14,6
Arizona,Gallego,D,100,97
Arizona,Lesko,R,0,1
Arizona,Stanton,D,100,98
Arkansas,Crawford,R,10,5
Arkansas,French,R,19,7
Arkansas,Womack,R,10,4
Arkansas,Westerman,R,10,2
California,LaMalfa,R,5,2
California,Huffman,D,100,98
California,Garamendi,D,100,91
California,McClintock,R,0,4
California,Thompson,D,100,93
California,Matsui,D,100,97
California,Bera,D,100,94
California,Cook,R,15,5
California,McNerney,D,100,95
California,Harder,D,100,98
California,DeSaulnier,D,100,99
California,Pelosi,D,100,94
California,Lee,D,100,97
California,Speier,D,100,91
California,Swalwell,D,100,92
California,Costa,D,100,54
California,Khanna,D,100,98
California,Eshoo,D,100,97
California,Lofgren,D,90,91
California,Panetta,D,100,97
California,Cox,D,90,94
California,Nunes,R,10,3
California,McCarthy,R,14,3
California,Carbajal,D,100,94
California,Garcia,R,21,21
California,Brownley,D,100,96
California,Chu,D,100,98
California,Schiff,D,100,98
California,Cardenas,D,100,88
California,Sherman,D,100,97
California,Aguilar,D,100,96
California,Napolitano,D,95,91
California,Lieu,D,95,91
California,Gomez,D,100,97
California,Torres,D,95,96
California,Ruiz,D,100,95
California,Bass,D,100,88
California,Sanchez,D,95,94
California,Cisneros,D,100,98
California,Roybal-Allard,D,100,96
California,Takano,D,100,98
California,Calvert,R,14,7
California,Waters,D,100,92
California,Barragan,D,100,98
California,Porter,D,100,94
California,Correa,D,100,93
California,Lowenthal,D,100,98
California,Rouda,D,100,92
California,Levin,D,100,98
California,Hunter,R,0,2
California,Vargas,D,100,96
California,Peters,D,100,93
California,Davis,D,95,97
Colorado,DeGette,D,100,96
Colorado,Neguse,D,100,98
