"Dog_diag_pos","Dog_Ehrlichia","Dog_sleeping_loc_reduced","House_social_class"
0,"S","inside",5
0,"S","outside/backyard",3
1,"S","inside",7
1,"S","inside",5
1,"S","outside/backyard",3
0,"S","outside/backyard",3
1,"S","outside/backyard",3
1,"S","inside",4
0,"S","inside",4
0,"N","inside",4
1,"N","inside",4
0,"N","inside",4
0,"N","inside",4
0,"S","inside",4
0,"N","inside",4
0,"N","inside",4
0,"N","inside",4
0,"S","inside",4
0,"S","outside/backyard",4
0,"S","inside",6
1,"S","inside",7
1,"S","inside",7
0,"S","inside",5
1,"S","outside/backyard",7
0,"S","inside",5
0,"S","outside/backyard",5
0,"S","inside",5
0,"N","inside",5
1,"S","inside",5
0,"N","inside",4
0,"N","inside",4
0,"N","inside",4
0,"N","outside/backyard",3
0,"N","inside",3
0,"N","outside/backyard",4
0,"N","inside",6
0,"S","outside/backyard",7
0,"S","outside/backyard",7
0,"S","outside/backyard",3
0,"S","outside/backyard",3
0,"S","outside/backyard",6
0,"S","inside",3
0,"N","inside",3
0,"S","inside",3
0,"S","inside",3
0,"N","inside",4
0,"S","inside",4
0,"S","inside",4
0,"S","inside",6
0,"S","inside",6
0,"S","inside",6
0,"S","inside",6
0,"S","inside",4
0,"S","inside",4
0,"S","inside",6
0,"S","outside/backyard",3
0,"S","outside/backyard",4
0,"N","outside/backyard",4
0,"N","inside",3
0,"N","outside/backyard",5
0,"S","inside",3
0,"S","inside",3
0,"N","inside",3
1,"S","inside",5
0,"S","inside",4
0,"N","inside",4
0,"S","inside",3
0,"S","inside",3
0,"S","inside",6
1,"S","inside",5
0,"S","inside",5
0,"S","outside/backyard",4
0,"S","inside",5
0,"S","inside",5
0,"N","inside",5
0,"S","inside",6
0,"N","outside/backyard",4
0,"N","outside/backyard",4
0,"S","outside/backyard",4
0,"S","outside/backyard",3
0,"S","outside/backyard",3
0,"S","outside/backyard",7
0,"S","inside",6
0,"S","inside",6
0,"S","inside",6
0,"S","outside/backyard",4
0,"S","outside/backyard",4
1,"N","outside/backyard",4
0,"S","inside",6
0,"S","inside",5
1,"S","inside",5
0,"N","outside/backyard",5
0,"S","outside/backyard",5
0,"S","inside",6
0,"S","inside",4
1,"S","inside",6
0,"S","outside/backyard",6
0,"S","outside/backyard",6
1,"S","outside/backyard",4
0,"S","inside",6
0,"S","inside",6
0,"S","inside",6
0,"N","inside",6
1,"S","outside/backyard",6
0,"N","inside",4
0,"S","inside",3
0,"S","inside",5
0,"N","inside",4
0,"S","inside",4
0,"S","outside/backyard",4
0,"N","inside",2
0,"S","inside",2
0,"S","outside/backyard",4
0,"S","outside/backyard",6
0,"S","outside/backyard",6
0,"N","inside",4
0,"S","inside",6
1,"N","inside",3
0,"N","outside/backyard",6
0,"S","inside",3
0,"S","inside",3
0,"N","inside",4
0,"S","inside",4
0,"N","inside",5
0,"N","outside/backyard",6
0,"N","outside/backyard",4
0,"N","outside/backyard",4
0,"N","inside",2
0,"N","outside/backyard",2
0,"N","inside",4
0,"N","inside",3
1,"S","outside/backyard",6
0,"S","inside",6
0,"N","inside",5
0,"N","outside/backyard",4
0,"S","inside",4
1,"S","inside",4
1,"S","inside",4
1,"N","outside/backyard",5
0,"S","inside",6
0,"S","outside/backyard",3
0,"N","inside",4
0,"S","outside/backyard",3
0,"S","outside/backyard",3
0,"S","outside/backyard",3
0,"N","outside/backyard",3
0,"N","inside",5
0,"S","inside",6
0,"S","inside",6
0,"S","inside",6
1,"S","inside",6
0,"S","outside/backyard",3
0,"N","outside/backyard",5
0,"S","outside/backyard",4
0,"N","inside",3
1,"N","inside",4
0,"S","inside",6
1,"S","outside/backyard",6
1,"S","outside/backyard",6
1,"S","outside/backyard",7
1,"S","inside",4
0,"N","inside",4
0,"N","outside/backyard",4
0,"S","inside",5
0,"N","inside",5
0,"N","inside",5
0,"S","inside",5
0,"S","inside",5
1,"N","outside/backyard",5
0,"S","outside/backyard",4
0,"N","outside/backyard",4
0,"S","outside/backyard",6
0,"N","inside",5
0,"S","outside/backyard",4
0,"S","inside",5
0,"N","inside",6
0,"N","inside",4
0,"S","inside",4
1,"N","outside/backyard",6
0,"N","inside",6
0,"N","inside",6
0,"N","inside",6
0,"N","inside",4
1,"S","outside/backyard",3
0,"S","outside/backyard",1
1,"S","outside/backyard",1
0,"S","outside/backyard",1
0,"S","outside/backyard",1
0,"N","outside/backyard",5
1,"S","outside/backyard",6
1,"S","outside/backyard",6
0,"N","inside",3
0,"N","outside/backyard",4
0,"N","inside",5
0,"S","inside",4
1,"S","outside/backyard",4
1,"S","outside/backyard",4
0,"N","inside",4
0,"S","outside/backyard",3
0,"N","outside/backyard",4
0,"N","outside/backyard",4
0,"N","inside",4
0,"N","inside",3
0,"N","inside",3
0,"S","inside",3
1,"S","outside/backyard",3
0,"S","outside/backyard",4
0,"N","outside/backyard",3
0,"N","inside",4
1,"S","outside/backyard",5
1,"N","inside",5
0,"S","outside/backyard",5
1,"S","outside/backyard",5
0,"N","outside/backyard",6
0,"N","inside",4
1,"S","outside/backyard",4
0,"N","outside/backyard",5
0,"S","outside/backyard",5
0,"S","outside/backyard",5
0,"N","outside/backyard",6
1,"S","outside/backyard",6
0,"S","outside/backyard",4
0,"S","outside/backyard",4
0,"S","outside/backyard",4
0,"S","outside/backyard",4
0,"S","outside/backyard",4
1,"S","inside",6
0,"S","inside",6
0,"N","inside",4
0,"S","inside",4
1,"N","outside/backyard",5
1,"N","outside/backyard",5
0,"N","inside",3
0,"N","outside/backyard",6
0,"S","outside/backyard",6
1,"S","outside/backyard",6
1,"S","inside",6
1,"N","outside/backyard",3
0,"S","inside",4
0,"S","outside/backyard",3
0,"N","inside",3
0,"N","outside/backyard",4
0,"S","outside/backyard",4
0,"S","inside",4
1,"S","outside/backyard",5
0,"S","outside/backyard",5
0,"S","outside/backyard",4
0,"S","inside",3
0,"N","inside",3
0,"S","outside/backyard",5
1,"S","outside/backyard",5
1,"S","outside/backyard",3
0,"N","outside/backyard",3
0,"N","outside/backyard",3
0,"S","inside",5
1,"S","outside/backyard",6
1,"S","outside/backyard",6
1,"S","outside/backyard",6
1,"S","outside/backyard",6
0,"N","inside",3
0,"N","inside",3
0,"S","inside",3
0,"N","inside",3
1,"S","outside/backyard",4
0,"S","outside/backyard",4
1,"S","outside/backyard",3
0,"S","outside/backyard",1
0,"S","inside",6
0,"N","inside",5
0,"S","inside",6
0,"N","inside",6
1,"S","outside/backyard",5
1,"S","outside/backyard",3
1,"N","outside/backyard",4
1,"N","outside/backyard",4
0,"S","outside/backyard",4
0,"S","outside/backyard",3
0,"S","inside",6
1,"S","inside",6
0,"S","outside/backyard",6
0,"S","inside",6
0,"S","inside",6
0,"N","outside/backyard",5
0,"N","outside/backyard",4
0,"S","outside/backyard",4
0,"S","outside/backyard",4
0,"S","outside/backyard",6
1,"S","outside/backyard",3
0,"S","outside/backyard",3
0,"S","inside",6
0,"S","inside",6
1,"S","inside",5
0,"S","outside/backyard",5
0,"N","outside/backyard",4
0,"N","inside",3
0,"S","inside",6
0,"N","inside",5
0,"S","inside",4
1,"N","outside/backyard",5
0,"S","inside",4
0,"N","outside/backyard",6
1,"S","outside/backyard",6
1,"S","outside/backyard",6
1,"S","outside/backyard",3
1,"S","outside/backyard",3
1,"S","outside/backyard",6
0,"S","outside/backyard",6
0,"S","inside",4
0,"N","outside/backyard",4
1,"S","outside/backyard",4
0,"S","inside",4
0,"S","inside",6
0,"N","outside/backyard",4
0,"N","outside/backyard",4
0,"N","inside",5
0,"N","inside",5
0,"S","outside/backyard",6
1,"S","outside/backyard",4
0,"N","outside/backyard",4
0,"S","outside/backyard",4
0,"N","outside/backyard",4
0,"S","outside/backyard",4
1,"N","outside/backyard",6
0,"N","inside",5
0,"S","inside",5
0,"N","inside",5
0,"N","inside",5
0,"N","inside",5
1,"S","outside/backyard",5
0,"N","outside/backyard",5
1,"N","outside/backyard",7
1,"N","outside/backyard",4
0,"N","outside/backyard",6
0,"N","outside/backyard",5
0,"N","outside/backyard",5
0,"N","outside/backyard",5
0,"S","outside/backyard",4
0,"S","inside",4
0,"S","inside",4
0,"N","outside/backyard",5
0,"N","outside/backyard",6
0,"N","inside",6
1,"S","outside/backyard",3
0,"N","outside/backyard",3
1,"S","outside/backyard",4
1,"S","outside/backyard",4
0,"S","outside/backyard",4
0,"S","outside/backyard",4
0,"N","outside/backyard",4
0,"S","outside/backyard",4
0,"N","outside/backyard",4
0,"S","outside/backyard",4
0,"S","inside",4
0,"N","inside",4
0,"S","inside",6
0,"N","inside",6
