"","V1","V2","V3","V4","V5"
"1","Female","Soccer",1997,0,24930
"2","Female","Soccer",1997,1,51
"3","Female","Soccer",1998,0,22887
"4","Female","Soccer",1998,1,47
"5","Female","Soccer",1999,0,27107
"6","Female","Soccer",1999,1,60
"7","Female","Lacrosse",1997,0,8750
"8","Female","Lacrosse",1997,1,12
"9","Female","Lacrosse",1998,0,7115
"10","Female","Lacrosse",1998,1,7
"11","Female","Lacrosse",1999,0,8524
"12","Female","Lacrosse",1999,1,7
"13","Female","Basketball",1997,0,29397
"14","Female","Basketball",1997,1,16
"15","Female","Basketball",1998,0,38144
"16","Female","Basketball",1998,1,30
"17","Female","Basketball",1999,0,28966
"18","Female","Basketball",1999,1,26
"19","Female","Softball/Baseball",1997,0,26825
"20","Female","Softball/Baseball",1997,1,9
"21","Female","Softball/Baseball",1998,0,44270
"22","Female","Softball/Baseball",1998,1,10
"23","Female","Softball/Baseball",1999,0,75327
"24","Female","Softball/Baseball",1999,1,28
"25","Female","Gymnastics",1997,0,8902
"26","Female","Gymnastics",1997,1,1
"27","Female","Gymnastics",1998,0,822
"28","Female","Gymnastics",1998,1,0
"29","Female","Gymnastics",1999,0,2083
"30","Female","Gymnastics",1999,1,0
"31","Male","Soccer",1997,0,30922
"32","Male","Soccer",1997,1,34
"33","Male","Soccer",1998,0,19115
"34","Male","Soccer",1998,1,27
"35","Male","Soccer",1999,0,25596
"36","Male","Soccer",1999,1,40
"37","Male","Lacrosse",1997,0,13467
"38","Male","Lacrosse",1997,1,19
"39","Male","Lacrosse",1998,0,9499
"40","Male","Lacrosse",1998,1,15
"41","Male","Lacrosse",1999,0,12160
"42","Male","Lacrosse",1999,1,17
"43","Male","Basketball",1997,0,27698
"44","Male","Basketball",1997,1,8
"45","Male","Basketball",1998,0,39346
"46","Male","Basketball",1998,1,21
"47","Male","Basketball",1999,0,32816
"48","Male","Basketball",1999,1,20
"49","Male","Softball/Baseball",1997,0,51329
"50","Male","Softball/Baseball",1997,1,22
"51","Male","Softball/Baseball",1998,0,49201
"52","Male","Softball/Baseball",1998,1,6
"53","Male","Softball/Baseball",1999,0,80190
"54","Male","Softball/Baseball",1999,1,25
"55","Male","Gymnastics",1997,0,227
"56","Male","Gymnastics",1997,1,0
"57","Male","Gymnastics",1998,0,221
"58","Male","Gymnastics",1998,1,0
"59","Male","Gymnastics",1999,0,1179
"60","Male","Gymnastics",1999,1,0
