Distance,Height ,Hand,Ball,Success,Student
2,stand,under,paper,0,1
2,stand,under,paper,1,1
2,stand,under,paper,1,1
2,stand ,under,paper,1,1
2,stand,under,paper,0,1
2,sit,under,paper,0,1
2,sit,under,paper,1,1
2,sit,under,paper,1,1
2,sit,under,paper,1,1
2,sit,under,paper,1,1
4,stand,over,paper,0,1
4,stand,over,paper,0,1
4,stand,over,paper,1,1
4,stand,under,paper,1,1
4,stand,under,paper,1,1
4,sit,under,paper,0,1
4,sit,under,paper,1,1
4,sit,under,paper,1,1
4,sit,over,paper,0,1
4,sit,over,paper,1,1
8,stand,over,paper,0,1
8,stand,over,paper,1,1
8,stand,over,paper,1,1
8,stand,under,paper,0,1
8,stand,under,paper,0,1
8,sit,over,paper,1,1
8,sit,over,paper,0,1
8,sit,over,paper,0,1
8,sit,over,paper,1,1
8,sit,over,paper,0,1
2,,underhand,paper,Y,2
2,,underhand,paper,Y,2
2,,underhand,paper,Y,2
2,,underhand,paper,N,2
2,,underhand,paper,Y,2
2,,overhand,tennis,Y,2
2,,overhand,tennis,Y,2
2,,overhand,tennis,Y,2
2,,overhand,tennis,Y,2
2,,overhand,tennis,Y,2
4,,underhand,paper,N,2
4,,underhand,paper,Y,2
4,,underhand,paper,N,2
4,,underhand,paper,Y,2
4,,underhand,paper,Y,2
4,,overhand,tennis,Y,2
4,,overhand,tennis,N,2
4,,overhand,tennis,Y,2
4,,overhand,tennis,Y,2
4,,overhand,tennis,Y,2
8,,underhand,paper,Y,2
8,,underhand,paper,N,2
8,,underhand,paper,N,2
8,,underhand,paper,Y,2
8,,underhand,paper,Y,2
8,,overhand,tennis,N,2
8,,overhand,tennis,Y,2
8,,overhand,tennis,N,2
8,,overhand,tennis,Y,2
8,,overhand,tennis,Y,2
2,,under,tennis ball,1,3
2,,under,bouncy ball,1,3
2,,under,paper,1,3
2,,under,tennis ball,1,3
2,,under,bouncy ball,1,3
2,,over,paper,1,3
2,,over,tennis ball,1,3
2,,over,bouncy ball,1,3
2,,over,paper,1,3
2,,over,tennis ball,1,3
4,,under,bouncy ball,1,3
4,,under,paper,0,3
4,,under,tennis ball,1,3
4,,under,bouncy ball,1,3
4,,under,paper,1,3
4,,over,tennis ball,0,3
4,,over,bouncy ball,1,3
4,,over,paper,0,3
4,,over,tennis ball,1,3
4,,over,bouncy ball,1,3
8,,under,paper,0,3
8,,under,tennis ball,1,3
8,,under,bouncy ball,1,3
8,,under,paper,1,3
8,,under,tennis ball,1,3
8,,over,bouncy ball,0,3
8,,over,paper,0,3
8,,over,tennis ball,1,3
8,,over,bouncy ball,0,3
8,,over,paper,0,3
