"sample_state","gender_respondent_x","interest_attention","interest_following","interest_voted2008","interest_whovote2008","prmedia_wkinews","prmedia_wktvnws","prmedia_wkpaprnws","prmedia_wkrdnws","prevote_primv","prevote_primvwho","prevote_voted","prevote_intpres","prevote_intpresst","prevote_inths","congapp_job_x","presapp_track","presapp_job_x","presapp_econ_x","presapp_foreign_x","presapp_health_x","presapp_war_x","ft_dpc","ft_rpc","ft_dvpc","ft_rvpc","ft_hclinton","ft_gwb","ft_dem","ft_rep","finance_finfam","finance_finpast_x","finance_finnext_x","health_insured","health_2010hcr_x","health_self","health_smoke","candaff_angdpc","candaff_hpdpc","candaff_afrdpc","candaff_prddpc","candaff_angrpc","candaff_hprpc","candaff_afrrpc","candaff_prdrpc","libcpre_self","divgov_splitgov","campfin_banads","ineq_incgap","ineq_incgap_x","econ_ecnow","econ_ecpast_x","econ_ecnext_x","econ_unpast_x","preswin_dutychoice_x","usworld_stronger","usworld_stay","pid_x","war_worthit","war_terror","gun_control","gun_importance","immig_policy","immig_citizen","immig_checks","aa_uni","aa_uni_x","aa_work_x","trustgov_corrpt","gayrt_discrev_x","relig_import","relig_mastersummary","relig_ident_1st","dem_age_r_x","dem_marital","dem_edugroup_x","dem_veteran","dem_empstatus_1digitfin_x","dem_unionhh","dem_raceeth_x","dem_nativity","dem2_numchild","dem2_cellpers","dem3_yearscomm","dem3_ownhome","dem3_passport","wealth_stocks","wealth_vachome","wealth_ownrental","wealth_investbus","inc_incgroup_pre","owngun_owngun","orientn_rgay","preknow_prestimes","preknow_sizedef","preknow_senterm","preknow_medicare","preknow_leastsp","happ_lifesatisf","patriot_amident","china_econ","sample_stfips","sample_region","iwrobspre_skintone","iwrobspre_levinfo","iwrobspre_intell","iwrobspre_interest","manuf","Statename","MANo","GovOwn","PriOwn","GovValue_mil","PriOwn_mil","Total_mil"
"AK",2,4,3,1,2,1,0,3,6,1,1,2,1,1,1,4,2,5,5,4,5,4,15,70,15,60,0,85,40,60,2,2,3,1,6,2,2,1,1,1,2,2,1,2,1,5,2,1,3,3,3,3,1,3,4,1,1,6,1,3,3,3,1,1,1,2,6,6,2,NA,2,149,NA,47,1,1,2,1,2,1,1,0,1,37,1,1,1,2,2,2,24,1,1,2,1,4,1,2,2,2,3,2,4,NA,NA,NA,NA,"0","Alaska",1,1,0,5,0,5
"AK",1,3,3,1,2,6,6,0,0,1,1,2,1,2,1,4,2,5,5,5,5,5,0,60,0,50,15,60,15,70,1,4,3,1,6,3,1,1,2,1,2,2,1,2,2,6,3,1,1,1,5,4,2,4,7,1,1,4,2,1,3,4,1,2,1,3,4,4,2,2,2,880,NA,77,1,0,2,5,2,1,1,0,2,29,1,1,NA,2,1,2,NA,NA,1,2,1,6,1,3,3,3,2,2,4,NA,NA,NA,NA,"0","Alaska",1,1,0,5,0,5
"AK",2,2,2,1,1,7,7,7,0,2,NA,2,1,2,1,5,2,4,5,5,2,1,70,60,60,70,70,50,40,40,0,2,3,1,4,3,1,2,2,2,2,2,2,2,2,4,2,3,1,2,4,2,3,3,1,1,1,2,2,1,3,2,3,1,1,3,4,4,4,2,1,199,NA,72,3,2,2,5,2,1,1,0,1,33,1,2,1,2,2,2,14,1,1,2,1,6,1,4,3,4,2,2,4,NA,NA,NA,NA,"0","Alaska",1,1,0,5,0,5
"AL",2,4,1,1,1,NA,7,2,7,1,2,2,1,1,NA,5,NA,1,NA,1,1,1,100,0,100,0,100,0,100,0,1,2,3,1,1,2,1,2,1,2,1,1,2,1,2,1,3,2,1,2,NA,2,0,2,7,1,NA,0,2,3,1,2,3,1,1,3,4,4,3,NA,1,149,1,86,6,0,2,5,2,2,1,0,2,13,1,2,2,2,2,2,2,2,1,2,2,4,1,3,1,NA,NA,1,3,8,4,3,2,NA,"Alabama",1,1,0,186,0,186
"AL",1,1,1,1,1,NA,7,0,0,1,2,2,1,1,1,5,1,1,1,1,1,1,100,0,100,0,100,0,100,0,0,2,1,1,1,3,2,2,1,2,1,1,2,1,2,1,1,2,1,1,3,2,0,3,7,3,1,0,2,3,1,1,4,1,3,1,1,1,2,1,1,229,6,79,4,0,1,5,2,2,1,0,NA,19,1,2,2,2,2,2,NA,1,1,6,1,3,1,1,1,3,1,1,3,6,1,2,2,NA,"Alabama",1,1,0,186,0,186
"AL",2,2,1,1,1,2,7,3,7,1,2,2,1,1,1,5,1,1,1,1,1,1,100,0,100,5,100,15,100,0,0,2,1,1,1,2,2,2,1,2,1,1,2,1,2,NA,1,2,1,1,2,1,0,1,2,3,2,0,1,2,3,2,3,1,1,2,7,2,4,NA,1,400,1,72,3,2,2,1,2,2,1,0,1,40,1,2,2,2,1,2,3,1,1,2,1,8,1,3,2,4,NA,1,3,3,1,1,1,"0","Alabama",1,1,0,186,0,186
"AL",2,4,2,2,NA,NA,0,0,0,2,NA,2,1,1,2,NA,1,1,1,NA,1,4,100,NA,NA,NA,100,0,100,85,0,2,1,1,2,5,1,2,1,2,1,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,4,2,2,0,2,2,3,1,3,3,3,3,4,4,3,NA,1,149,1,54,4,2,2,6,2,2,1,0,1,40,2,2,2,2,2,2,2,2,1,2,2,1,3,3,5,4,NA,1,3,7,4,3,3,NA,"Alabama",1,1,0,186,0,186
"AL",1,2,1,1,1,5,4,0,2,2,NA,2,1,1,1,4,1,1,2,1,1,1,100,60,70,50,70,30,70,40,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,3,2,2,3,2,3,2,2,1,2,3,3,3,1,1,1,1,2,3,1,2,880,6,35,4,1,2,1,2,2,1,1,1,7,1,2,1,2,2,2,13,1,1,2,1,2,1,2,3,4,2,1,3,5,1,1,1,"0","Alabama",1,1,0,186,0,186
"AL",1,2,1,1,NA,NA,7,0,0,2,NA,NA,1,1,NA,1,NA,1,1,1,1,1,100,15,NA,NA,78,NA,100,14,0,5,3,1,1,4,1,2,1,2,1,2,2,2,2,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,880,NA,80,6,0,2,5,2,2,1,0,NA,1,2,2,NA,NA,NA,NA,2,2,1,2,1,6,2,2,1,3,1,1,3,6,4,4,3,NA,"Alabama",1,1,0,186,0,186
"AL",2,4,1,1,1,7,7,7,3,2,NA,2,1,1,1,5,1,1,1,1,1,1,100,15,85,NA,100,15,100,15,3,2,3,1,1,2,2,2,1,2,1,1,2,2,2,NA,3,2,1,2,3,3,1,3,7,2,2,0,1,2,3,2,3,1,1,2,5,7,3,4,1,121,2,50,6,0,2,1,2,2,1,1,1,3,2,2,2,2,2,2,1,2,NA,NA,2,NA,3,4,2,4,1,1,3,7,4,4,2,"0","Alabama",1,1,0,186,0,186
"AL",2,4,3,1,1,NA,7,0,0,2,NA,2,1,1,NA,1,1,1,1,1,1,1,100,0,40,NA,100,0,100,50,0,1,2,1,1,3,2,2,1,2,1,2,2,2,2,NA,1,2,1,1,NA,3,0,1,6,2,NA,2,1,3,3,4,NA,1,1,NA,NA,NA,3,5,1,121,1,70,3,0,2,6,2,2,1,0,NA,15,1,2,2,2,2,2,1,2,NA,4,NA,2,1,3,3,3,1,1,3,5,4,4,2,NA,"Alabama",1,1,0,186,0,186
"AL",2,4,3,1,1,3,0,0,5,2,NA,2,1,1,2,NA,1,1,5,1,1,1,85,50,NA,NA,50,30,60,50,0,2,3,1,2,2,2,2,1,2,1,2,2,2,2,4,2,1,1,1,4,3,2,3,6,2,2,0,2,3,1,2,3,1,1,1,2,2,2,1,1,149,7,22,6,3,2,1,2,2,1,0,1,9,1,2,2,2,2,2,NA,1,1,4,1,2,1,4,2,3,2,1,3,3,2,2,2,"0","Alabama",1,1,0,186,0,186
"AL",1,2,1,1,1,7,7,0,5,2,NA,2,1,1,1,5,2,1,1,1,1,1,95,0,95,0,95,0,75,0,0,5,2,1,1,5,1,1,1,2,1,1,2,1,2,3,1,1,1,1,3,2,1,2,1,2,1,0,2,3,2,4,4,1,2,1,1,1,4,NA,1,720,NA,47,4,4,2,1,1,2,1,0,1,3,2,1,2,2,2,2,12,2,1,2,1,2,1,2,3,2,3,1,3,NA,NA,NA,NA,"0","Alabama",1,1,0,186,0,186
"AL",1,3,2,2,NA,NA,7,2,6,2,NA,NA,1,1,2,1,1,1,1,NA,1,NA,100,15,4,3,5,8,8,7,0,4,1,1,1,5,1,2,1,2,1,2,NA,2,2,5,2,2,1,1,5,1,0,4,6,1,1,1,2,2,1,5,3,1,1,1,1,6,4,1,1,121,1,58,6,0,2,6,2,2,1,0,NA,1,2,2,2,2,2,2,3,2,1,4,3,6,1,2,3,3,1,1,3,7,4,3,2,NA,"Alabama",1,1,0,186,0,186
