"price","date","bedrooms","bathrooms","sqft","floors","waterfront","yr_built","yr_renovated"
221900,285,3,1,1180,1,0,1955,0
538000,342,3,2.25,2570,2,0,1951,1991
180000,420,2,1,770,1,0,1933,0
604000,342,4,3,1960,1,0,1965,0
510000,413,3,2,1680,1,0,1987,0
1225000,131,4,4.5,5420,1,0,2001,0
257500,177,3,2.25,1715,2,0,1995,0
291850,379,3,1.5,1060,1,0,1963,0
229500,469,3,1,1780,1,0,1960,0
323000,435,3,2.5,1890,2,0,2003,0
662500,457,3,2.5,3560,1,0,1965,0
468000,146,2,1,1160,1,0,1942,0
310000,147,3,1,1430,1.5,0,1927,0
4e+05,279,3,1.75,1370,1,0,1977,0
530000,435,5,2,1810,1.5,0,1900,0
650000,388,4,3,2950,2,0,1979,0
395000,211,3,2,1890,2,0,1994,0
485000,148,4,1,1600,1.5,0,1916,0
189000,338,2,1,1200,1,0,1921,0
230000,478,3,1,1250,1,0,1969,0
385000,133,4,1.75,1620,1,0,1947,0
2e+06,237,3,2.75,3050,1,0,1968,0
285000,183,5,2.5,2270,2,0,1995,0
252700,135,2,1.5,1070,1,0,1985,0
329000,323,3,2.25,2450,2,0,1985,0
233000,306,3,2,1710,1.5,0,1941,0
937000,176,3,1.75,2450,2,0,1915,0
667000,334,3,1,1400,1.5,0,1909,0
438000,174,3,1.75,1520,1,0,1948,0
719000,425,4,2.5,2570,2,0,2005,0
580500,313,3,2.5,2320,2,0,2003,0
280000,334,2,1.5,1190,3,0,2005,0
687500,174,4,1.75,2330,1.5,0,1929,0
535000,313,3,1,1090,1.5,0,1929,0
322500,336,4,2.75,2060,1,0,1981,0
696000,163,3,2.5,2300,1.5,0,1930,2002
550000,147,4,1,1660,1,0,1933,0
640000,363,4,2,2360,2,0,1904,0
240000,408,4,1,1220,1,0,1969,0
605000,170,4,2.5,2620,2,0,1996,0
625000,195,4,2.5,2570,2,0,2000,0
775000,222,4,2.25,4220,1,0,1984,0
861990,187,5,2.75,3595,2,0,2014,0
685000,300,3,1,1570,2,0,1922,0
309000,209,3,1,1280,1,0,1959,0
488000,198,3,2.5,3160,2,0,2003,0
